Model,Type,Features,Qubits,Train Samples,Test Samples,PR-AUC,ROC-AUC,F1,Precision,Recall,FPR,Accuracy,Train Time (s)
XGBoost (Phase 1 Baseline),Classical (Full),30,N/A,227845,56962,0.8716329310770835,0.9692409673492357,0.8723404255319149,0.9111111111111111,0.8367346938775511,0.00014068655036578504,0.9995786664794073,Verified Phase 1
XGBoost-4F,Classical (4 Features),4,N/A,40,40,1.0,1.0,0.2857142857142857,0.16666666666666666,1.0,0.1282051282051282,0.875,0.1388
QSVC (Quantum Kernel SVM),Quantum Kernel,4,4,40,40,0.16666666666666666,0.8717948717948718,0.0,0.0,0.0,0.1282051282051282,0.85,3.607
VQC (Variational Quantum Classifier),Variational Quantum,4,4,40,40,0.5,0.9743589743589743,0.6666666666666666,0.5,1.0,0.02564102564102564,0.975,1.465
