model,n_samples_train,n_samples_test,n_features,n_qubits,pr_auc,roc_auc,f1,precision,recall,fpr,accuracy,training_time_s,inference_time_s,backend,source
XGBoost (Phase 1),227845,56962,30,N/A,0.8716329310770835,0.9692409673492357,0.8723404255319149,0.9111111111111111,0.8367346938775511,0.00014068655036578504,0.9995786664794073,Not available,Not available,CPU (XGBoost),Loaded from phase1_results.json (Phase 1)
QSVC,100,25,4,4,0.043478260869565216,0.08333333333333337,0.0,0.0,0.0,0.3333333333333333,0.64,21.215,10.374,Qiskit Statevector (local ideal simulation — no IBM Quantum),Phase 2 experiments (this run)
VQC,100,25,4,4,0.125,0.7083333333333333,0.18181818181818182,0.1,1.0,0.375,0.64,4.805,0.138,Qiskit Statevector (local ideal simulation — no IBM Quantum),Phase 2 experiments (this run)
